first_name,last_name,date_of_birth,gender,nationality,club,licence,weapons,handedness,ranking,points
Thomas,Mertens,2002-01-15,M,BEL,Club A,,sabre,,14,
Jasper,Michiels,2012-06-30,M,BEL,Club Gent,BEL-U-034,foil,R,34,
Valérie,Michiels,1995-06-07,F,,Club Liège,,foil,,23,
Romain,Moreau,1999-11-14,M,BEL,Club Tournai,,sabre,,23,
François,Nguyên,1982-03-08,M,BEL,Club A,,sabre,,41,
Enzo,Nijs,2011-03-16,M,BEL,Club Gent,BEL-U-023,foil,L,23,
Victor,Nijs,2011-07-28,M,BEL,Club Antwerpen,,sabre,,17,
Fencer,No1,2010-01-01,M,,Club Namur,,foil,,1,
Fencer,No2,2010-01-01,M,,Club Namur,,foil,,2,
Fencer,No3,2010-01-01,M,,Club Namur,,foil,,3,
Fencer,No4,2010-01-01,M,,Club Namur,,foil,,4,
Fencer,No5,2010-01-01,M,,Club Namur,,foil,,5,
Fencer,No6,2010-01-01,M,,Club Namur,,foil,,6,
Fencer,No7,2010-01-01,M,,Club Namur,,foil,,7,
Camille,Noël,2006-09-23,F,,Atlas Fencing,,epee,,7,
Nicolas,Paulissen,1995-03-30,M,BEL,Club Namur,,sabre,,21,
Axel,Peeters,2011-09-12,M,BEL,Club Gent,BEL-U-017,foil,L,17,
Lucas,Peeters,2011-03-03,M,BEL,Club Liège,,sabre,,1,
Nora,Peeters,2012-01-30,F,,Club Liège,,epee,,31,
Noel,Peters,2010-01-29,M,NED,Club Namur,NED-U-030,foil,L,30,
Henri,Picard,1975-07-16,M,BEL,Club Antwerpen,,"sabre,epee",,40,
Ingrid,Pieters,1997-03-04,F,,Club A,,foil,,10,
Hugo,Pirard,2014-09-05,M,BEL,Club Antwerpen,,sabre,,11,
Julie,Pirard,1979-05-14,F,BEL,Club Gent,,sabre,,47,
Juliette,Puts,2005-11-14,F,,Club A,,epee,,24,
Arthur,Renard,2011-05-19,M,BEL,Club Namur,BEL-U-011,foil,L,11,
Manon,Renard,1984-10-09,F,BEL,Club Antwerpen,,"sabre,foil",,48,
Maxime,Renard,2008-08-11,M,BEL,Club Namur,,sabre,,33,
Pauline,Renard,2007-07-16,F,,Club Antwerpen,,epee,,29,
Clément,Renaux,2012-04-06,M,FRA,Club Tournai,FRA-U-031,foil,R,31,
Julien,Schmit,2011-08-03,M,LUX,Club Liège,LUX-U-009,foil,R,9,
Lena,Simon,2010-06-25,F,,Atlas Fencing,,epee,,19,
Quentin,Simon,2011-11-03,M,BEL,Club Tournai,BEL-U-020,foil,R,20,
Katrien,Smeets,1998-02-08,F,,Club Tournai,,foil,,1,
Louis,Smeets,2000-09-08,M,BEL,Club Gent,,sabre,,18,
Hana,Stevens,2002-12-22,F,,Atlas Fencing,,epee,,36,
Stef,Stevens,2001-04-20,M,BEL,Club A,,sabre,,29,
Laure,Thijs,1997-10-13,F,,Club Namur,,foil,,6,
Pieter,Van Acker,1993-12-03,M,BEL,Club Liège,,sabre,,27,
Joris,Van Den Berg,2005-04-17,M,BEL,Club Tournai,,sabre,,49,
Pieter,Van den Berg,2011-06-28,M,NED,Club Gent,NED-U-007,foil,R,7,
Elodie,Vande Velde,1999-04-17,F,,Club Liège,,epee,,39,
Elke,Vandenberghe,2002-03-05,F,,Club Tournai,,epee,,26,
Liam,Vandenberghe,2015-02-18,M,BEL,Club Bruxelles,,sabre,,3,
Martine,Verbrugge,1970-06-19,F,,Atlas Fencing,,foil,,48,
Arthur,Vermeersch,2013-04-14,M,BEL,Club A,,sabre,,2,
Karen,Vermeersch,1990-09-11,F,,Atlas Fencing,,foil,,32,
Ethan,Verschueren,2010-05-18,M,BEL,Club Liège,BEL-U-027,foil,R,27,
Piet,Wauters,1967-04-01,M,BEL,Atlas Fencing,,,,,
Kobe,Willems,2012-09-08,M,BEL,Club Antwerpen,BEL-U-025,foil,R,25,
Théo,Willems,2010-04-06,M,BEL,Atlas Fencing,,sabre,,24,
Zoé,Willems,2009-02-17,F,,Club Namur,,epee,,27,
Axelle,Wouters,2006-01-07,F,,Club Tournai,,epee,,38,
Simon,Wouters,2010-06-08,M,BEL,Club Antwerpen,BEL-U-015,foil,R,15,
